"","Year","st","State","Gini","GeoFIPS","Region","pc_income","Index","realpc_income"
"1",1930,1,"Alabama",0.434127330780029," 01000",5,263,16.7,15.748502994012
"2",1930,3,"Arizona",0.402635365724564," 04000",6,518,16.7,31.0179640718563
"3",1930,4,"Arkansas",0.388537287712097," 05000",5,224,16.7,13.4131736526946
"4",1930,5,"California",0.464406818151474," 06000",8,889,16.7,53.2335329341317
"5",1930,6,"Colorado",0.468462467193604," 08000",7,574,16.7,34.3712574850299
"6",1930,7,"Connecticut",0.530675053596497," 09000",1,927,16.7,55.5089820359281
"7",1930,8,"Delaware",0.648764491081238," 10000",2,858,16.7,51.377245508982
"8",1930,9,"District of Columbia",0.439555525779724," 11000",2,1314,16.7,78.6826347305389
"9",1930,10,"Florida",0.48578616976738," 12000",5,468,16.7,28.0239520958084
"10",1930,11,"Georgia",0.42780265212059," 13000",5,303,16.7,18.1437125748503
"11",1930,13,"Idaho",0.331438392400742," 16000",7,488,16.7,29.2215568862275
"12",1930,14,"Illinois",0.500133216381073," 17000",3,810,16.7,48.502994011976
"13",1930,15,"Indiana",0.460371166467667," 18000",3,512,16.7,30.6586826347305
"14",1930,16,"Iowa",0.42173370718956," 19000",4,501,16.7,30
"15",1930,17,"Kansas",0.430281847715378," 20000",4,460,16.7,27.5449101796407
"16",1930,18,"Kentucky",0.448963791131973," 21000",5,322,16.7,19.2814371257485
"17",1930,19,"Louisiana",0.409362107515335," 22000",5,353,16.7,21.1377245508982
"18",1930,20,"Maine",0.483662813901901," 23000",1,574,16.7,34.3712574850299
"19",1930,21,"Maryland",0.497601509094238," 24000",2,721,16.7,43.1736526946108
"20",1930,22,"Massachusetts",0.52245682477951," 25000",1,842,16.7,50.4191616766467
"21",1930,23,"Michigan",0.501393795013428," 26000",3,658,16.7,39.4011976047904
"22",1930,24,"Minnesota",0.472060024738312," 27000",4,547,16.7,32.7544910179641
"23",1930,25,"Mississippi",0.395431667566299," 28000",5,197,16.7,11.7964071856287
"24",1930,26,"Missouri",0.493093311786652," 29000",4,560,16.7,33.5329341317365
"25",1930,27,"Montana",0.381693929433823," 30000",7,501,16.7,30
"26",1930,28,"Nebraska",0.415691018104553," 31000",4,510,16.7,30.5389221556886
"27",1930,29,"Nevada",0.457255005836487," 32000",8,834,16.7,49.940119760479
"28",1930,30,"New Hampshire",0.466470688581467," 33000",1,648,16.7,38.8023952095808
"29",1930,31,"New Jersey",0.473788291215897," 34000",2,851,16.7,50.9580838323353
"30",1930,32,"New Mexico",0.381072580814362," 35000",6,333,16.7,19.940119760479
"31",1930,33,"New York",0.549698770046234," 36000",2,1042,16.7,62.3952095808383
"32",1930,34,"North Carolina",0.488502413034439," 37000",5,287,16.7,17.185628742515
"33",1930,35,"North Dakota",0.355182439088821," 38000",4,308,16.7,18.4431137724551
"34",1930,36,"Ohio",0.494789898395538," 39000",3,664,16.7,39.7604790419162
"35",1930,37,"Oklahoma",0.475662589073181," 40000",6,365,16.7,21.8562874251497
"36",1930,38,"Oregon",0.3993861079216," 41000",8,605,16.7,36.2275449101796
"37",1930,39,"Pennsylvania",0.515759825706482," 42000",2,717,16.7,42.934131736527
"38",1930,40,"Rhode Island",0.529034435749054," 44000",1,795,16.7,47.6047904191617
"39",1930,41,"South Carolina",0.400289297103882," 45000",5,239,16.7,14.311377245509
"40",1930,42,"South Dakota",0.379424870014191," 46000",4,357,16.7,21.377245508982
"41",1930,43,"Tennessee",0.433192938566208," 47000",5,321,16.7,19.2215568862275
"42",1930,44,"Texas",0.439161151647568," 48000",6,407,16.7,24.3712574850299
"43",1930,45,"Utah",0.436204314231873," 49000",7,494,16.7,29.5808383233533
"44",1930,46,"Vermont",0.43515145778656," 50000",1,572,16.7,34.251497005988
"45",1930,47,"Virginia",0.429704666137695," 51000",5,387,16.7,23.1736526946108
"46",1930,48,"Washington",0.391783863306046," 53000",8,657,16.7,39.3413173652695
"47",1930,49,"West Virginia",0.436251819133759," 54000",5,407,16.7,24.3712574850299
"48",1930,50,"Wisconsin",0.478654891252518," 55000",3,585,16.7,35.0299401197605
"49",1930,51,"Wyoming",0.375541478395462," 56000",7,582,16.7,34.8502994011976
"50",1931,1,"Alabama",0.417724251747131," 01000",5,220,15.2,14.4736842105263
"51",1931,3,"Arizona",0.378817468881607," 04000",6,430,15.2,28.2894736842105
"52",1931,4,"Arkansas",0.38352957367897," 05000",5,207,15.2,13.6184210526316
"53",1931,5,"California",0.449270963668823," 06000",8,753,15.2,49.5394736842105
"54",1931,6,"Colorado",0.453947633504868," 08000",7,472,15.2,31.0526315789474
"55",1931,7,"Connecticut",0.495010763406754," 09000",1,807,15.2,53.0921052631579
"56",1931,8,"Delaware",0.639443755149841," 10000",2,776,15.2,51.0526315789474
"57",1931,9,"District of Columbia",0.427277326583862," 11000",2,1253,15.2,82.4342105263158
"58",1931,10,"Florida",0.485888481140137," 12000",5,397,15.2,26.1184210526316
"59",1931,11,"Georgia",0.411168247461319," 13000",5,254,15.2,16.7105263157895
"60",1931,13,"Idaho",0.30429670214653," 16000",7,366,15.2,24.0789473684211
"61",1931,14,"Illinois",0.461358100175858," 17000",3,673,15.2,44.2763157894737
"62",1931,15,"Indiana",0.433605253696442," 18000",3,435,15.2,28.6184210526316
"63",1931,16,"Iowa",0.409677773714066," 19000",4,396,15.2,26.0526315789474
"64",1931,17,"Kansas",0.424451857805252," 20000",4,394,15.2,25.9210526315789
"65",1931,18,"Kentucky",0.421027332544327," 21000",5,287,15.2,18.8815789473684
"66",1931,19,"Louisiana",0.398989230394363," 22000",5,315,15.2,20.7236842105263
"67",1931,20,"Maine",0.472260147333145," 23000",1,492,15.2,32.3684210526316
"68",1931,21,"Maryland",0.485940039157867," 24000",2,646,15.2,42.5
"69",1931,22,"Massachusetts",0.481622636318207," 25000",1,766,15.2,50.3947368421053
"70",1931,23,"Michigan",0.489574819803238," 26000",3,540,15.2,35.5263157894737
"71",1931,24,"Minnesota",0.450203984975815," 27000",4,457,15.2,30.0657894736842
"72",1931,25,"Mississippi",0.381935507059097," 28000",5,169,15.2,11.1184210526316
"73",1931,26,"Missouri",0.459287911653519," 29000",4,489,15.2,32.171052631579
"74",1931,27,"Montana",0.356681436300278," 30000",7,387,15.2,25.4605263157895
"75",1931,28,"Nebraska",0.411982774734497," 31000",4,409,15.2,26.9078947368421
"76",1931,29,"Nevada",0.43845722079277," 32000",8,665,15.2,43.75
"77",1931,30,"New Hampshire",0.44897797703743," 33000",1,560,15.2,36.8421052631579
"78",1931,31,"New Jersey",0.447465717792511," 34000",2,741,15.2,48.75
"79",1931,32,"New Mexico",0.378660589456558," 35000",6,287,15.2,18.8815789473684
"80",1931,33,"New York",0.501400887966156," 36000",2,889,15.2,58.4868421052632
"81",1931,34,"North Carolina",0.476923108100891," 37000",5,244,15.2,16.0526315789474
"82",1931,35,"North Dakota",0.363813847303391," 38000",4,195,15.2,12.8289473684211
"83",1931,36,"Ohio",0.442990809679031," 39000",3,563,15.2,37.0394736842105
"84",1931,37,"Oklahoma",0.437836736440659," 40000",6,294,15.2,19.3421052631579
"85",1931,38,"Oregon",0.368744313716888," 41000",8,504,15.2,33.1578947368421
"86",1931,39,"Pennsylvania",0.486059457063675," 42000",2,605,15.2,39.8026315789474
"87",1931,40,"Rhode Island",0.498642027378082," 44000",1,718,15.2,47.2368421052632
"88",1931,41,"South Carolina",0.397467911243439," 45000",5,203,15.2,13.3552631578947
"89",1931,42,"South Dakota",0.389030069112778," 46000",4,242,15.2,15.9210526315789
"90",1931,43,"Tennessee",0.425308078527451," 47000",5,273,15.2,17.9605263157895
"91",1931,44,"Texas",0.424537718296051," 48000",6,345,15.2,22.6973684210526
"92",1931,45,"Utah",0.414467245340347," 49000",7,372,15.2,24.4736842105263
"93",1931,46,"Vermont",0.396111458539963," 50000",1,471,15.2,30.9868421052632
"94",1931,47,"Virginia",0.419136196374893," 51000",5,371,15.2,24.4078947368421
"95",1931,48,"Washington",0.364635050296783," 53000",8,534,15.2,35.1315789473684
"96",1931,49,"West Virginia",0.405685424804688," 54000",5,354,15.2,23.2894736842105
"97",1931,50,"Wisconsin",0.457310527563095," 55000",3,469,15.2,30.8552631578947
"98",1931,51,"Wyoming",0.354122787714005," 56000",7,477,15.2,31.3815789473684
"99",1932,1,"Alabama",0.38616806268692," 01000",5,159,13.7,11.6058394160584
"100",1932,3,"Arizona",0.338846325874329," 04000",6,322,13.7,23.5036496350365
"101",1932,4,"Arkansas",0.351684510707855," 05000",5,152,13.7,11.0948905109489
"102",1932,5,"California",0.422822654247284," 06000",8,584,13.7,42.6277372262774
"103",1932,6,"Colorado",0.423714220523834," 08000",7,357,13.7,26.0583941605839
"104",1932,7,"Connecticut",0.483156472444534," 09000",1,627,13.7,45.7664233576642
"105",1932,8,"Delaware",0.636892318725586," 10000",2,591,13.7,43.1386861313869
"106",1932,9,"District of Columbia",0.378682911396027," 11000",2,1107,13.7,80.8029197080292
"107",1932,10,"Florida",0.448322415351868," 12000",5,317,13.7,23.1386861313869
"108",1932,11,"Georgia",0.406049579381943," 13000",5,197,13.7,14.3795620437956
"109",1932,13,"Idaho",0.298664182424545," 16000",7,268,13.7,19.5620437956204
"110",1932,14,"Illinois",0.444494366645813," 17000",3,489,13.7,35.6934306569343
"111",1932,15,"Indiana",0.400991946458817," 18000",3,308,13.7,22.4817518248175
"112",1932,16,"Iowa",0.356178253889084," 19000",4,293,13.7,21.3868613138686
"113",1932,17,"Kansas",0.408228635787964," 20000",4,267,13.7,19.4890510948905
"114",1932,18,"Kentucky",0.41302478313446," 21000",5,209,13.7,15.2554744525547
"115",1932,19,"Louisiana",0.387531489133835," 22000",5,238,13.7,17.3722627737226
"116",1932,20,"Maine",0.452249884605408," 23000",1,380,13.7,27.7372262773723
"117",1932,21,"Maryland",0.451447933912277," 24000",2,522,13.7,38.1021897810219
"118",1932,22,"Massachusetts",0.452870577573776," 25000",1,622,13.7,45.4014598540146
"119",1932,23,"Michigan",0.43116694688797," 26000",3,395,13.7,28.8321167883212
"120",1932,24,"Minnesota",0.432892471551895," 27000",4,361,13.7,26.3503649635037
"121",1932,25,"Mississippi",0.366222530603409," 28000",5,122,13.7,8.9051094890511
"122",1932,26,"Missouri",0.431390136480331," 29000",4,365,13.7,26.6423357664234
"123",1932,27,"Montana",0.342587828636169," 30000",7,334,13.7,24.3795620437956
"124",1932,28,"Nebraska",0.39246129989624," 31000",4,303,13.7,22.1167883211679
"125",1932,29,"Nevada",0.392453610897064," 32000",8,557,13.7,40.6569343065693
"126",1932,30,"New Hampshire",0.432052493095398," 33000",1,430,13.7,31.3868613138686
"127",1932,31,"New Jersey",0.438912987709045," 34000",2,593,13.7,43.2846715328467
"128",1932,32,"New Mexico",0.335042893886566," 35000",6,208,13.7,15.1824817518248
"129",1932,33,"New York",0.490241944789886," 36000",2,686,13.7,50.0729927007299
"130",1932,34,"North Carolina",0.477958351373672," 37000",5,183,13.7,13.3576642335766
"131",1932,35,"North Dakota",0.326501846313477," 38000",4,178,13.7,12.992700729927
"132",1932,36,"Ohio",0.426485329866409," 39000",3,403,13.7,29.4160583941606
"133",1932,37,"Oklahoma",0.389790743589401," 40000",6,214,13.7,15.6204379562044
"134",1932,38,"Oregon",0.375108331441879," 41000",8,377,13.7,27.5182481751825
"135",1932,39,"Pennsylvania",0.463494837284088," 42000",2,455,13.7,33.2116788321168
"136",1932,40,"Rhode Island",0.486564546823502," 44000",1,584,13.7,42.6277372262774
"137",1932,41,"South Carolina",0.37526261806488," 45000",5,156,13.7,11.3868613138686
"138",1932,42,"South Dakota",0.359679698944092," 46000",4,189,13.7,13.7956204379562
"139",1932,43,"Tennessee",0.393704026937485," 47000",5,194,13.7,14.1605839416058
"140",1932,44,"Texas",0.397041887044907," 48000",6,262,13.7,19.1240875912409
"141",1932,45,"Utah",0.395963609218597," 49000",7,304,13.7,22.1897810218978
"142",1932,46,"Vermont",0.382228225469589," 50000",1,363,13.7,26.4963503649635
"143",1932,47,"Virginia",0.396395057439804," 51000",5,286,13.7,20.8759124087591
"144",1932,48,"Washington",0.351647257804871," 53000",8,402,13.7,29.3430656934307
"145",1932,49,"West Virginia",0.378794252872467," 54000",5,257,13.7,18.7591240875912
"146",1932,50,"Wisconsin",0.431135982275009," 55000",3,362,13.7,26.4233576642336
"147",1932,51,"Wyoming",0.337531179189682," 56000",7,375,13.7,27.3722627737226
"148",1933,1,"Alabama",0.398552536964417," 01000",5,164,13,12.6153846153846
"149",1933,3,"Arizona",0.346323311328888," 04000",6,309,13,23.7692307692308
"150",1933,4,"Arkansas",0.359029442071915," 05000",5,153,13,11.7692307692308
"151",1933,5,"California",0.437937617301941," 06000",8,550,13,42.3076923076923
"152",1933,6,"Colorado",0.43727445602417," 08000",7,353,13,27.1538461538462
"153",1933,7,"Connecticut",0.494554311037064," 09000",1,591,13,45.4615384615385
"154",1933,8,"Delaware",0.643275856971741," 10000",2,566,13,43.5384615384615
"155",1933,9,"District of Columbia",0.378794133663177," 11000",2,945,13,72.6923076923077
"156",1933,10,"Florida",0.457587748765945," 12000",5,289,13,22.2307692307692
"157",1933,11,"Georgia",0.41411018371582," 13000",5,202,13,15.5384615384615
"158",1933,13,"Idaho",0.312076061964035," 16000",7,228,13,17.5384615384615
"159",1933,14,"Illinois",0.467040061950684," 17000",3,441,13,33.9230769230769
"160",1933,15,"Indiana",0.414869219064713," 18000",3,294,13,22.6153846153846
"161",1933,16,"Iowa",0.391071766614914," 19000",4,252,13,19.3846153846154
"162",1933,17,"Kansas",0.399078696966171," 20000",4,251,13,19.3076923076923
"163",1933,18,"Kentucky",0.429316818714142," 21000",5,204,13,15.6923076923077
"164",1933,19,"Louisiana",0.383936077356339," 22000",5,226,13,17.3846153846154
"165",1933,20,"Maine",0.458455085754395," 23000",1,373,13,28.6923076923077
"166",1933,21,"Maryland",0.452638417482376," 24000",2,475,13,36.5384615384615
"167",1933,22,"Massachusetts",0.471371978521347," 25000",1,568,13,43.6923076923077
"168",1933,23,"Michigan",0.428236395120621," 26000",3,348,13,26.7692307692308
"169",1933,24,"Minnesota",0.441603899002075," 27000",4,310,13,23.8461538461538
"170",1933,25,"Mississippi",0.389105439186096," 28000",5,127,13,9.76923076923077
"171",1933,26,"Missouri",0.440327763557434," 29000",4,334,13,25.6923076923077
"172",1933,27,"Montana",0.331088781356812," 30000",7,299,13,23
"173",1933,28,"Nebraska",0.401952475309372," 31000",4,273,13,21
"174",1933,29,"Nevada",0.414616048336029," 32000",8,499,13,38.3846153846154
"175",1933,30,"New Hampshire",0.449388414621353," 33000",1,420,13,32.3076923076923
"176",1933,31,"New Jersey",0.450145363807678," 34000",2,529,13,40.6923076923077
"177",1933,32,"New Mexico",0.334694296121597," 35000",6,211,13,16.2307692307692
"178",1933,33,"New York",0.52892541885376," 36000",2,634,13,48.7692307692308
"179",1933,34,"North Carolina",0.454524636268616," 37000",5,203,13,15.6153846153846
"180",1933,35,"North Dakota",0.337777197360992," 38000",4,151,13,11.6153846153846
"181",1933,36,"Ohio",0.437803238630295," 39000",3,387,13,29.7692307692308
"182",1933,37,"Oklahoma",0.40888249874115," 40000",6,220,13,16.9230769230769
"183",1933,38,"Oregon",0.354194283485413," 41000",8,357,13,27.4615384615385
"184",1933,39,"Pennsylvania",0.465368717908859," 42000",2,423,13,32.5384615384615
"185",1933,40,"Rhode Island",0.496753454208374," 44000",1,569,13,43.7692307692308
"186",1933,41,"South Carolina",0.386907815933228," 45000",5,172,13,13.2307692307692
"187",1933,42,"South Dakota",0.38068699836731," 46000",4,136,13,10.4615384615385
"188",1933,43,"Tennessee",0.409288763999939," 47000",5,201,13,15.4615384615385
"189",1933,44,"Texas",0.405548512935638," 48000",6,254,13,19.5384615384615
"190",1933,45,"Utah",0.393603801727295," 49000",7,297,13,22.8461538461538
"191",1933,46,"Vermont",0.371023952960968," 50000",1,337,13,25.9230769230769
"192",1933,47,"Virginia",0.406090348958969," 51000",5,286,13,22
"193",1933,48,"Washington",0.344861477613449," 53000",8,376,13,28.9230769230769
"194",1933,49,"West Virginia",0.396140903234482," 54000",5,259,13,19.9230769230769
"195",1933,50,"Wisconsin",0.438433945178986," 55000",3,334,13,25.6923076923077
"196",1933,51,"Wyoming",0.386664122343063," 56000",7,372,13,28.6153846153846
"197",1934,1,"Alabama",0.3897605240345," 01000",5,207,13.4,15.4477611940298
"198",1934,3,"Arizona",0.350419580936432," 04000",6,362,13.4,27.0149253731343
"199",1934,4,"Arkansas",0.38881653547287," 05000",5,182,13.4,13.5820895522388
"200",1934,5,"California",0.433545082807541," 06000",8,605,13.4,45.1492537313433
"201",1934,6,"Colorado",0.435524880886078," 08000",7,372,13.4,27.7611940298507
"202",1934,7,"Connecticut",0.493895977735519," 09000",1,661,13.4,49.3283582089552
"203",1934,8,"Delaware",0.664341270923615," 10000",2,647,13.4,48.2835820895522
"204",1934,9,"District of Columbia",0.368583559989929," 11000",2,963,13.4,71.865671641791
"205",1934,10,"Florida",0.474381476640701," 12000",5,348,13.4,25.9701492537313
"206",1934,11,"Georgia",0.417728543281555," 13000",5,241,13.4,17.9850746268657
"207",1934,13,"Idaho",0.331160694360733," 16000",7,389,13.4,29.0298507462687
"208",1934,14,"Illinois",0.445834994316101," 17000",3,508,13.4,37.910447761194
"209",1934,15,"Indiana",0.43059104681015," 18000",3,357,13.4,26.6417910447761
"210",1934,16,"Iowa",0.405289977788925," 19000",4,271,13.4,20.2238805970149
"211",1934,17,"Kansas",0.408993154764175," 20000",4,288,13.4,21.4925373134328
"212",1934,18,"Kentucky",0.433976620435715," 21000",5,232,13.4,17.3134328358209
"213",1934,19,"Louisiana",0.401971876621246," 22000",5,263,13.4,19.6268656716418
"214",1934,20,"Maine",0.456930637359619," 23000",1,418,13.4,31.1940298507463
"215",1934,21,"Maryland",0.443750709295273," 24000",2,532,13.4,39.7014925373134
"216",1934,22,"Massachusetts",0.465033918619156," 25000",1,618,13.4,46.1194029850746
"217",1934,23,"Michigan",0.435108542442322," 26000",3,454,13.4,33.8805970149254
"218",1934,24,"Minnesota",0.442721515893936," 27000",4,359,13.4,26.7910447761194
"219",1934,25,"Mississippi",0.40801078081131," 28000",5,167,13.4,12.4626865671642
"220",1934,26,"Missouri",0.450536251068115," 29000",4,368,13.4,27.4626865671642
"221",1934,27,"Montana",0.334413260221481," 30000",7,365,13.4,27.2388059701493
"222",1934,28,"Nebraska",0.406535714864731," 31000",4,264,13.4,19.7014925373134
"223",1934,29,"Nevada",0.404558271169662," 32000",8,560,13.4,41.7910447761194
"224",1934,30,"New Hampshire",0.446377068758011," 33000",1,480,13.4,35.8208955223881
"225",1934,31,"New Jersey",0.438311040401459," 34000",2,578,13.4,43.134328358209
"226",1934,32,"New Mexico",0.361534595489502," 35000",6,246,13.4,18.3582089552239
"227",1934,33,"New York",0.505087375640869," 36000",2,688,13.4,51.3432835820895
"228",1934,34,"North Carolina",0.462476432323456," 37000",5,247,13.4,18.4328358208955
"229",1934,35,"North Dakota",0.351478695869446," 38000",4,184,13.4,13.7313432835821
"230",1934,36,"Ohio",0.442051500082016," 39000",3,457,13.4,34.1044776119403
"231",1934,37,"Oklahoma",0.40822559595108," 40000",6,250,13.4,18.6567164179104
"232",1934,38,"Oregon",0.3860784471035," 41000",8,437,13.4,32.6119402985075
"233",1934,39,"Pennsylvania",0.467326879501343," 42000",2,487,13.4,36.3432835820896
"234",1934,40,"Rhode Island",0.494044184684753," 44000",1,609,13.4,45.4477611940299
"235",1934,41,"South Carolina",0.408253729343414," 45000",5,207,13.4,15.4477611940298
"236",1934,42,"South Dakota",0.373975723981857," 46000",4,190,13.4,14.1791044776119
"237",1934,43,"Tennessee",0.42532342672348," 47000",5,242,13.4,18.0597014925373
"238",1934,44,"Texas",0.42036971449852," 48000",6,291,13.4,21.7164179104478
"239",1934,45,"Utah",0.386044830083847," 49000",7,314,13.4,23.4328358208955
"240",1934,46,"Vermont",0.385218024253845," 50000",1,381,13.4,28.4328358208955
"241",1934,47,"Virginia",0.416691362857819," 51000",5,323,13.4,24.1044776119403
"242",1934,48,"Washington",0.372161984443665," 53000",8,442,13.4,32.9850746268657
"243",1934,49,"West Virginia",0.399338841438293," 54000",5,313,13.4,23.3582089552239
"244",1934,50,"Wisconsin",0.448312252759933," 55000",3,380,13.4,28.3582089552239
"245",1934,51,"Wyoming",0.383044570684433," 56000",7,414,13.4,30.8955223880597
"246",1935,1,"Alabama",0.385875523090363," 01000",5,216,13.7,15.7664233576642
"247",1935,3,"Arizona",0.359211295843124," 04000",6,416,13.7,30.3649635036496
"248",1935,4,"Arkansas",0.386504203081131," 05000",5,204,13.7,14.8905109489051
"249",1935,5,"California",0.4325290620327," 06000",8,665,13.7,48.5401459854015
"250",1935,6,"Colorado",0.451414942741394," 08000",7,445,13.7,32.4817518248175
"251",1935,7,"Connecticut",0.505457103252411," 09000",1,715,13.7,52.1897810218978
"252",1935,8,"Delaware",0.670445322990417," 10000",2,706,13.7,51.5328467153285
"253",1935,9,"District of Columbia",0.395840048789978," 11000",2,1031,13.7,75.2554744525548
"254",1935,10,"Florida",0.491792142391205," 12000",5,378,13.7,27.5912408759124
"255",1935,11,"Georgia",0.409319132566452," 13000",5,267,13.7,19.4890510948905
"256",1935,13,"Idaho",0.327026903629303," 16000",7,394,13.7,28.7591240875912
"257",1935,14,"Illinois",0.463728338479996," 17000",3,576,13.7,42.043795620438
"258",1935,15,"Indiana",0.428202599287033," 18000",3,419,13.7,30.5839416058394
"259",1935,16,"Iowa",0.399817913770676," 19000",4,418,13.7,30.5109489051095
"260",1935,17,"Kansas",0.400033175945282," 20000",4,360,13.7,26.2773722627737
"261",1935,18,"Kentucky",0.435366004705429," 21000",5,264,13.7,19.2700729927007
"262",1935,19,"Louisiana",0.406491130590439," 22000",5,289,13.7,21.0948905109489
"263",1935,20,"Maine",0.455030113458633," 23000",1,435,13.7,31.7518248175183
"264",1935,21,"Maryland",0.449396938085556," 24000",2,558,13.7,40.7299270072993
"265",1935,22,"Massachusetts",0.470957696437836," 25000",1,653,13.7,47.6642335766423
"266",1935,23,"Michigan",0.458613872528076," 26000",3,532,13.7,38.8321167883212
"267",1935,24,"Minnesota",0.447424441576004," 27000",4,449,13.7,32.7737226277372
"268",1935,25,"Mississippi",0.416616797447205," 28000",5,174,13.7,12.7007299270073
"269",1935,26,"Missouri",0.453890889883041," 29000",4,421,13.7,30.7299270072993
"270",1935,27,"Montana",0.340665578842163," 30000",7,475,13.7,34.6715328467153
"271",1935,28,"Nebraska",0.400743216276169," 31000",4,405,13.7,29.5620437956204
"272",1935,29,"Nevada",0.437534183263779," 32000",8,667,13.7,48.6861313868613
"273",1935,30,"New Hampshire",0.445985227823257," 33000",1,504,13.7,36.7883211678832
"274",1935,31,"New Jersey",0.459143310785294," 34000",2,631,13.7,46.0583941605839
"275",1935,32,"New Mexico",0.350155621767044," 35000",6,293,13.7,21.3868613138686
"276",1935,33,"New York",0.514742493629456," 36000",2,732,13.7,53.4306569343066
"277",1935,34,"North Carolina",0.458161950111389," 37000",5,267,13.7,19.4890510948905
"278",1935,35,"North Dakota",0.339822143316269," 38000",4,271,13.7,19.7810218978102
"279",1935,36,"Ohio",0.450035095214844," 39000",3,519,13.7,37.8832116788321
"280",1935,37,"Oklahoma",0.410697132349014," 40000",6,296,13.7,21.6058394160584
"281",1935,38,"Oregon",0.388332009315491," 41000",8,459,13.7,33.5036496350365
"282",1935,39,"Pennsylvania",0.459926873445511," 42000",2,524,13.7,38.2481751824818
"283",1935,40,"Rhode Island",0.496248543262482," 44000",1,655,13.7,47.8102189781022
"284",1935,41,"South Carolina",0.394252449274063," 45000",5,228,13.7,16.6423357664234
"285",1935,42,"South Dakota",0.371928483247757," 46000",4,305,13.7,22.2627737226277
"286",1935,43,"Tennessee",0.405672132968903," 47000",5,263,13.7,19.1970802919708
